  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 12:19:55	  -0.000	  152.96	 1008.98	   22.30	  949.87	   1.190	  312.07	  185.17	  108.21	   -8.45	  -77.24	 -101.01	 -107.45	 -120.24	 -119.66	 -116.14	 -109.16	 -114.58	 -108.93	 -102.78	  -90.83	  -80.71	  -71.21	  -64.05	  -60.80	  -57.23	  -58.28	   -6.26	   29.81	   39.63	   40.40	  312.35	   54.46	  -41.72	  -59.00	  -59.96	  -55.06	  -49.62	  -46.24	  -43.11	  -40.02	  -37.14	  -34.36	  -32.28	  -28.90	  -25.76	  -21.95	  -17.77	  -12.76	   -7.16	   -1.74	    3.70	    7.90	   10.96	   40.40	  323.47	  322.82	  322.82	  322.58	  322.91	  323.30	  322.59	  323.15	  322.86	  322.81	  323.52	  322.74	  323.63	  322.17	  323.21	  322.42	  322.89	  321.18	  323.49	  325.29	  323.93	  319.80	  314.92	  304.46	  291.21	  285.75	  294.25	  305.22	  315.43	  321.06	  321.76	  323.83	  323.58	  324.44	  323.02	  322.65	  323.60	  322.99	  322.30	  324.23	  322.40	  323.43	  323.41	  321.60	  321.87	  324.06	  323.14	  324.06	   15.61	   16.48	   17.49	   16.75	   16.74	   16.15	   17.01	   17.21	   17.25	   16.56	   16.58	   15.99	    1.50	    0.09	    0.06	    0.02
       2	 12:22:05	  -5.000	  154.57	 1008.81	   22.54	  949.78	   1.189	  -95.73	  257.28	  297.16	  189.67	   86.23	   39.75	    8.11	  -17.37	  -28.00	  -37.10	  -37.81	  -52.20	  -54.31	  -57.20	  -51.57	  -44.91	  -38.59	  -28.72	  -21.99	  -14.29	   -9.75	   -4.98	   -0.70	   -1.31	   29.16	  -92.08	 -622.57	 -589.48	 -293.26	 -227.25	 -186.48	 -160.91	 -138.73	 -123.35	 -109.96	  -98.44	  -88.58	  -79.97	  -71.19	  -62.71	  -54.50	  -46.12	  -36.98	  -26.99	  -16.84	   -5.65	    5.53	   16.80	   29.16	  328.88	  328.44	  328.35	  328.27	  328.37	  328.98	  327.80	  328.90	  328.50	  328.41	  329.10	  328.47	  329.50	  327.71	  328.76	  328.63	  328.37	  327.12	  329.39	  331.01	  330.21	  327.11	  325.12	  310.91	  286.40	  259.17	  256.67	  278.45	  305.05	  322.62	  326.46	  328.82	  328.56	  329.22	  328.15	  327.51	  328.81	  328.19	  327.24	  329.64	  327.52	  329.66	  328.75	  326.44	  327.10	  329.87	  328.16	  329.34	   17.20	   14.75	   15.97	   15.71	   16.29	   16.51	   17.68	   17.45	   18.10	   17.84	   18.00	   13.71	    2.06	    0.13	    0.10	   -0.05
       3	 12:22:29	  -4.000	  156.47	 1008.83	   22.57	  949.75	   1.188	   -1.72	  261.35	  275.71	  157.10	   56.35	   13.82	  -10.49	  -38.99	  -46.12	  -54.29	  -54.00	  -65.75	  -66.05	  -67.11	  -59.34	  -51.84	  -45.02	  -33.97	  -27.62	  -19.41	  -16.44	  -12.49	   -8.74	   -5.89	   31.53	    2.03	 -586.89	 -397.42	 -282.91	 -214.01	 -171.42	 -136.21	 -114.11	 -102.08	  -91.51	  -83.11	  -75.73	  -68.64	  -61.44	  -54.16	  -47.21	  -39.76	  -31.40	  -22.19	  -12.47	   -1.66	    9.52	   20.89	   31.53	  328.76	  328.17	  328.13	  328.02	  328.05	  328.62	  327.44	  328.57	  328.05	  328.11	  328.87	  328.04	  329.17	  327.31	  328.73	  328.23	  327.92	  326.70	  329.00	  330.63	  329.92	  325.92	  319.73	  299.25	  275.57	  270.21	  288.68	  310.61	  323.43	  328.75	  327.26	  328.71	  328.34	  329.50	  327.92	  327.19	  328.48	  327.95	  327.01	  329.31	  327.19	  329.38	  328.28	  326.12	  326.73	  329.74	  327.87	  329.11	   16.90	   15.43	   16.59	   16.23	   16.68	   16.74	   18.12	   18.02	   18.01	   17.66	   17.78	   14.53	    2.14	    0.11	   -0.00	   -0.17
       4	 12:22:53	  -3.000	  153.66	 1008.81	   22.60	  950.37	   1.188	  104.47	  258.35	  245.03	  121.51	   24.26	  -12.06	  -33.17	  -58.31	  -64.33	  -68.53	  -68.20	  -77.29	  -76.61	  -75.55	  -67.76	  -58.85	  -50.20	  -39.37	  -34.01	  -26.27	  -25.25	  -20.88	  -18.68	   18.08	   29.85	  105.23	 -401.49	 -304.54	 -223.23	 -170.48	 -139.03	 -117.97	 -104.73	  -94.05	  -84.92	  -77.25	  -70.46	  -65.03	  -58.76	  -52.71	  -45.34	  -36.27	  -26.49	  -16.89	   -7.65	    2.02	   12.19	   23.08	   29.85	  326.73	  326.52	  326.32	  325.96	  326.19	  326.73	  325.78	  326.76	  326.36	  326.41	  326.86	  326.16	  327.30	  325.61	  326.73	  326.50	  326.07	  325.43	  327.01	  328.68	  327.56	  321.62	  308.69	  287.35	  276.21	  287.93	  306.03	  319.69	  325.68	  327.59	  325.42	  326.99	  327.06	  327.23	  326.83	  326.08	  327.39	  326.70	  325.88	  328.22	  325.99	  328.14	  327.20	  325.00	  325.59	  328.32	  326.73	  327.83	   16.76	   15.98	   17.08	   16.59	   16.91	   17.37	   18.10	   18.07	   17.99	   17.61	   17.64	   15.17	    2.03	    0.11	    0.00	   -0.21
       5	 12:23:16	  -2.000	  155.24	 1008.83	   22.61	  950.23	   1.188	  203.83	  248.44	  208.06	   84.53	   -2.79	  -39.74	  -57.64	  -77.01	  -82.41	  -83.90	  -80.47	  -90.64	  -86.11	  -84.04	  -75.12	  -64.41	  -54.97	  -45.71	  -41.36	  -35.11	  -34.60	  -33.79	   -0.86	   38.55	   29.89	  204.92	 -234.49	 -217.33	 -168.05	 -133.45	 -111.00	  -95.69	  -86.03	  -77.80	  -70.55	  -64.27	  -58.76	  -54.38	  -48.60	  -43.72	  -38.57	  -33.33	  -27.81	  -22.29	  -17.05	  -10.76	    0.13	   19.62	   29.89	  327.78	  327.28	  327.10	  326.79	  327.07	  327.61	  327.12	  327.59	  327.15	  327.27	  327.84	  327.16	  328.34	  326.38	  327.56	  327.33	  326.82	  326.62	  327.73	  329.03	  324.35	  311.95	  295.46	  284.90	  289.61	  306.18	  318.21	  325.49	  327.66	  328.49	  326.39	  327.83	  327.65	  328.18	  327.19	  326.52	  327.90	  327.23	  326.40	  328.68	  326.48	  328.66	  327.62	  325.56	  326.00	  328.98	  327.00	  328.44	   16.64	   16.43	   17.48	   16.95	   17.21	   17.99	   17.79	   18.28	   17.97	   17.56	   17.58	   15.73	    1.99	    0.07	    0.03	   -0.16
       6	 12:23:32	  -1.000	  157.12	 1008.86	   22.62	  950.31	   1.188	  279.16	  226.84	  163.66	   40.09	  -37.25	  -72.36	  -83.67	  -98.04	 -103.81	 -102.27	  -95.55	 -105.34	  -97.84	  -96.83	  -85.00	  -74.22	  -63.52	  -56.64	  -52.15	  -47.66	  -46.48	  -39.29	   21.21	   42.86	   31.99	  278.89	  -81.63	 -130.45	 -114.82	  -99.00	  -84.57	  -75.44	  -68.23	  -62.42	  -57.34	  -52.56	  -48.41	  -44.89	  -40.31	  -36.06	  -31.42	  -26.56	  -20.99	  -15.19	   -9.91	   -4.86	   -0.98	    2.30	   31.99	  330.38	  330.11	  330.01	  329.69	  329.79	  330.65	  329.98	  330.34	  329.95	  329.89	  330.57	  329.92	  330.92	  329.28	  330.29	  330.02	  329.79	  329.29	  329.83	  328.94	  316.00	  296.87	  286.56	  292.42	  303.65	  318.97	  326.19	  329.95	  330.73	  331.32	  329.12	  330.46	  330.48	  330.95	  330.09	  329.46	  330.77	  330.14	  329.12	  331.62	  329.39	  331.59	  330.63	  328.35	  329.11	  331.48	  330.02	  331.42	   15.75	   16.24	   17.32	   16.61	   16.62	   17.82	   16.97	   17.75	   17.30	   16.70	   16.75	   15.67	    1.69	    0.05	    0.08	   -0.18
       7	 12:23:49	  -0.000	  156.79	 1008.84	   22.64	  949.69	   1.188	  316.56	  186.44	  107.43	  -10.08	  -75.98	 -100.96	 -110.48	 -120.90	 -122.40	 -119.64	 -110.19	 -118.14	 -109.75	 -105.46	  -93.54	  -82.59	  -71.54	  -65.84	  -62.50	  -58.97	  -59.89	   -6.42	   29.41	   39.60	   38.89	  318.67	   51.58	  -45.17	  -60.96	  -62.41	  -56.43	  -51.86	  -48.28	  -44.98	  -41.85	  -38.86	  -36.04	  -34.17	  -30.44	  -27.14	  -23.32	  -19.06	  -13.91	   -8.31	   -2.78	    2.76	    7.02	    9.95	   38.89	  328.89	  328.57	  328.42	  328.16	  328.34	  328.80	  328.40	  328.77	  328.44	  328.32	  328.87	  328.31	  329.53	  327.74	  329.06	  328.49	  327.93	  326.60	  323.83	  316.21	  297.36	  289.73	  297.70	  311.47	  320.64	  327.48	  328.41	  329.01	  329.15	  329.79	  327.63	  329.00	  328.60	  327.59	  328.16	  327.70	  328.69	  328.08	  327.36	  329.50	  327.56	  329.67	  328.61	  326.60	  327.24	  329.50	  328.15	  329.38	   14.71	   15.94	   16.98	   16.14	   15.10	   17.08	   15.03	   16.60	   16.47	   15.71	   15.73	   15.46	    0.75	    0.05	    0.06	    0.01
       8	 12:24:07	   1.000	  156.90	 1008.84	   22.67	  949.78	   1.188	  323.50	  120.43	   32.28	  -72.14	 -125.58	 -141.24	 -145.20	 -151.32	 -148.72	 -144.60	 -130.10	 -137.40	 -126.21	 -121.41	 -108.79	  -98.29	  -87.81	  -82.01	  -79.52	  -78.06	  -52.97	    1.02	   19.94	   27.51	   32.37	  326.05	  176.29	   43.57	   -1.17	  -18.67	  -21.95	  -23.00	  -23.66	  -22.92	  -21.95	  -20.77	  -19.33	  -18.43	  -15.91	  -13.28	  -10.32	   -6.66	   -1.72	    3.89	    9.65	   15.46	   19.99	   23.04	   32.37	  329.38	  329.03	  328.90	  328.66	  328.75	  329.26	  329.02	  329.35	  329.28	  328.79	  329.53	  328.75	  329.70	  328.03	  329.37	  328.98	  327.86	  322.95	  307.56	  287.59	  283.09	  295.73	  312.37	  324.76	  328.26	  329.79	  329.07	  329.53	  329.54	  330.25	  327.92	  329.46	  329.27	  329.29	  328.84	  328.18	  329.39	  328.96	  327.88	  330.21	  328.11	  330.23	  329.34	  327.12	  327.82	  330.10	  328.65	  329.62	   13.92	   16.63	   17.57	   16.48	   15.73	   17.25	   16.91	   16.34	   15.93	   15.04	   15.05	   16.39	    0.59	    0.05	    0.06	    0.00
       9	 12:24:38	   2.000	  158.39	 1008.85	   22.70	  950.21	   1.188	  312.58	   48.55	  -35.90	 -131.64	 -170.65	 -177.75	 -176.30	 -176.96	 -171.09	 -163.50	 -148.56	 -150.89	 -140.06	 -135.90	 -120.73	 -110.15	 -100.89	  -97.21	  -96.00	  -86.32	  -21.23	    0.70	   14.00	   24.35	   39.12	  314.51	  253.18	  109.85	   43.65	   12.73	    3.96	   -2.09	   -5.58	   -7.29	   -8.16	   -8.50	   -8.39	   -8.82	   -7.47	   -5.86	   -3.94	   -1.28	    2.81	    7.67	   13.12	   19.27	   24.83	   29.40	   39.12	  331.74	  331.39	  331.18	  330.96	  331.11	  331.65	  331.24	  331.69	  331.99	  331.21	  331.90	  331.13	  332.28	  330.42	  331.50	  331.33	  327.61	  311.44	  287.54	  282.94	  297.90	  315.13	  327.33	  331.02	  331.47	  332.20	  331.12	  331.83	  331.77	  332.50	  330.45	  331.68	  332.06	  332.73	  331.61	  330.94	  331.98	  331.45	  330.67	  333.05	  330.70	  333.00	  332.07	  329.90	  330.58	  332.63	  331.53	  332.23	   13.40	   16.97	   17.88	   16.64	   15.80	   17.14	   17.27	   16.13	   15.61	   14.57	   14.59	   16.94	    0.73	    0.03	    0.06	    0.02
      10	 12:24:58	   3.000	  155.29	 1008.80	   22.71	  949.78	   1.188	  243.02	  -34.33	 -115.93	 -188.28	 -213.83	 -208.92	 -202.06	 -198.43	 -191.86	 -179.45	 -162.56	 -162.17	 -149.86	 -144.44	 -131.61	 -121.35	 -112.87	 -110.72	 -108.14	  -44.08	  -18.38	   -4.88	    9.90	   22.70	   43.05	  243.72	  298.04	  163.30	   84.32	   43.33	   27.32	   17.76	   11.97	    8.19	    5.58	    3.70	    2.41	    0.89	    1.15	    1.60	    2.55	    4.16	    7.12	   10.93	   15.40	   21.04	   26.55	   31.95	   43.05	  326.31	  325.90	  325.70	  325.60	  325.79	  326.01	  325.80	  326.16	  326.55	  325.80	  326.43	  325.54	  326.97	  325.09	  326.13	  323.59	  305.97	  280.98	  275.09	  292.31	  312.13	  322.12	  325.60	  326.09	  326.00	  326.85	  325.64	  326.50	  326.55	  327.33	  325.08	  326.47	  326.44	  327.29	  326.14	  325.49	  326.57	  326.20	  325.26	  327.33	  324.73	  327.45	  326.50	  324.50	  324.91	  327.51	  326.07	  326.68	   12.41	   16.75	   17.60	   16.25	   15.37	   16.49	   16.93	   15.41	   14.73	   13.61	   13.64	   16.90	    0.80	    0.02	    0.05	    0.01
      11	 12:25:27	   4.000	  154.14	 1008.84	   22.74	  949.81	   1.188	  121.84	 -131.81	 -204.89	 -253.38	 -258.13	 -244.91	 -230.50	 -222.47	 -211.41	 -196.76	 -178.96	 -174.28	 -162.03	 -155.67	 -144.11	 -135.62	 -128.93	 -124.73	  -66.67	  -37.61	  -26.39	   -9.86	    7.61	   21.32	   44.67	  122.42	  318.90	  214.83	  123.40	   74.41	   52.74	   39.53	   30.74	   25.05	   20.54	   17.19	   14.70	   12.21	   11.49	   10.67	   10.70	   11.39	   13.39	   16.35	   20.01	   24.93	   29.95	   35.38	   44.67	  325.88	  325.62	  325.39	  325.33	  325.46	  325.79	  325.64	  325.83	  326.19	  325.42	  326.07	  325.21	  326.65	  324.70	  323.09	  304.32	  276.75	  271.49	  290.82	  314.70	  324.40	  324.90	  325.67	  325.87	  325.73	  326.53	  325.24	  326.10	  326.26	  326.94	  324.91	  326.25	  326.45	  325.97	  326.10	  325.43	  326.49	  326.21	  325.30	  327.22	  324.75	  327.38	  326.39	  324.44	  324.93	  327.11	  326.08	  326.72	   11.88	   17.16	   17.89	   16.39	   15.32	   16.36	   17.02	   15.16	   14.40	   13.10	   13.22	   17.44	    0.62	    0.04	    0.05	    0.02
      12	 12:25:43	   5.000	  153.47	 1008.80	   22.76	  950.17	   1.188	  -55.30	 -241.09	 -302.46	 -320.83	 -308.47	 -283.80	 -262.81	 -249.01	 -233.10	 -215.73	 -195.90	 -191.44	 -177.79	 -170.17	 -161.00	 -152.91	 -140.68	  -84.65	  -61.20	  -47.45	  -33.68	  -14.56	    4.67	   19.60	   44.35	  -52.39	  320.68	  254.10	  158.44	  102.18	   76.02	   59.07	   48.53	   40.82	   34.62	   30.00	   26.30	   22.76	   20.94	   19.20	   18.42	   18.11	   19.40	   21.56	   24.47	   28.67	   33.11	   38.23	   44.35	  325.69	  325.19	  325.00	  324.85	  325.05	  325.31	  325.20	  325.44	  325.78	  325.11	  325.70	  324.94	  326.08	  321.22	  301.90	  274.19	  270.37	  287.87	  311.90	  324.74	  325.91	  324.59	  325.26	  325.47	  325.11	  325.96	  324.62	  325.67	  325.88	  326.51	  324.46	  325.75	  325.96	  327.29	  325.54	  324.79	  325.82	  325.57	  324.63	  326.48	  324.02	  326.37	  325.68	  323.77	  324.29	  326.40	  325.37	  325.57	   10.72	   16.90	   17.66	   15.84	   14.88	   15.96	   16.94	   14.80	   13.41	   12.06	   12.26	   17.42	    0.31	    0.02	   -0.03	   -0.26
      13	 12:25:56	   6.000	  156.45	 1008.82	   22.78	  949.65	   1.188	 -288.77	 -369.70	 -410.22	 -394.18	 -360.18	 -323.70	 -295.98	 -277.83	 -257.26	 -237.86	 -215.56	 -211.21	 -197.77	 -188.97	 -177.57	 -138.44	 -104.42	  -88.71	  -73.30	  -56.07	  -40.00	  -18.50	    1.58	   19.08	   42.81	 -285.47	  307.54	  284.46	  191.21	  128.94	   98.64	   78.45	   65.63	   56.17	   48.55	   42.48	   37.71	   32.86	   30.27	   27.71	   25.93	   24.88	   25.39	   26.69	   28.81	   32.27	   36.13	   40.57	   42.81	  326.03	  325.61	  325.50	  325.37	  325.62	  325.68	  325.62	  325.89	  326.24	  325.47	  326.11	  325.49	  323.41	  299.78	  268.93	  266.71	  290.71	  314.11	  324.83	  327.57	  326.61	  325.20	  325.90	  326.06	  325.68	  326.62	  325.12	  326.32	  326.44	  327.13	  325.04	  326.34	  327.17	  327.36	  326.67	  326.35	  327.05	  326.74	  325.81	  327.85	  325.28	  327.77	  326.91	  325.01	  325.40	  327.53	  326.53	  326.87	   10.14	   17.12	   17.79	   15.69	   14.89	   15.48	   16.43	   14.06	   13.01	   11.46	   11.59	   17.78	    0.12	    0.03	    0.04	   -0.01
      14	 12:27:46	   7.000	  155.36	 1008.77	   22.87	  950.09	   1.187	 -570.83	 -510.98	 -527.29	 -473.64	 -417.08	 -367.03	 -331.23	 -306.91	 -285.80	 -265.03	 -239.22	 -230.27	 -205.72	 -180.84	 -159.37	 -137.32	 -117.92	  -99.86	  -81.25	  -61.65	  -43.76	  -21.59	   -0.51	   17.42	   40.72	 -570.39	  274.68	  308.05	  221.39	  156.12	  120.69	   98.33	   83.40	   72.27	   63.12	   55.63	   49.72	   43.96	   40.18	   36.74	   34.11	   32.15	   31.77	   32.34	   33.70	   36.38	   39.59	   43.23	   40.72	  329.06	  328.82	  328.59	  329.14	  329.21	  328.87	  328.73	  329.04	  329.31	  328.59	  329.14	  328.77	  329.61	  327.92	  329.21	  328.62	  328.05	  328.07	  328.65	  330.45	  329.66	  328.15	  328.36	  319.21	  291.02	  261.45	  269.80	  300.89	  323.43	  329.53	  327.91	  329.85	  328.60	  330.48	  328.37	  328.41	  328.70	  328.49	  327.53	  329.51	  327.28	  329.47	  328.35	  326.81	  327.28	  329.15	  328.10	  328.81	   11.93	   19.17	   20.01	   18.36	   17.46	   17.37	   19.16	   16.88	   15.22	   13.61	   13.74	   19.73	   -0.10	    0.08	   -0.03	   -0.21
      15	 12:28:36	   8.000	  153.42	 1008.81	   22.90	  949.73	   1.187	 -870.32	 -638.84	 -636.84	 -540.32	 -461.56	 -403.40	 -362.27	 -337.03	 -304.02	 -268.34	 -233.76	 -223.60	 -205.65	 -189.20	 -166.96	 -143.08	 -123.03	 -102.83	  -83.20	  -62.46	  -43.92	  -22.37	   -1.37	   15.28	   37.20	 -873.54	  219.84	  317.06	  242.38	  177.57	  139.41	  114.06	   98.18	   85.69	   75.52	   66.88	   59.94	   53.24	   48.71	   44.56	   41.12	   38.33	   37.24	   37.00	   37.53	   39.39	   41.82	   44.70	   37.20	  325.42	  325.19	  325.13	  325.80	  325.72	  325.20	  325.20	  325.60	  325.86	  325.11	  325.42	  325.47	  325.97	  324.37	  325.67	  325.40	  324.27	  324.63	  325.13	  327.09	  325.89	  323.54	  313.25	  282.86	  256.47	  258.28	  287.37	  314.75	  324.46	  325.98	  324.36	  326.16	  325.37	  325.46	  325.23	  325.09	  325.61	  325.10	  324.43	  326.21	  323.95	  326.20	  325.11	  323.63	  324.02	  326.15	  325.09	  325.45	   11.43	   19.22	   19.97	   18.21	   17.08	   16.49	   18.06	   16.07	   14.82	   13.02	   13.15	   19.87	    0.13	    0.05	    0.02	    0.01
      16	 12:28:58	   9.000	  156.80	 1008.75	   22.91	  950.28	   1.187	-1204.21	 -765.95	 -763.03	 -620.03	 -523.24	 -455.18	 -377.19	 -336.22	 -308.85	 -282.56	 -250.85	 -239.41	 -218.13	 -197.82	 -172.80	 -147.72	 -126.48	 -104.79	  -83.91	  -62.64	  -43.84	  -22.01	   -2.14	   13.29	   33.55	-1209.64	  153.50	  325.30	  266.00	  200.94	  158.48	  131.95	  114.41	  100.62	   88.98	   79.19	   71.33	   63.74	   58.19	   53.11	   49.01	   45.45	   43.46	   42.40	   42.20	   43.27	   44.88	   46.94	   33.55	  329.36	  329.29	  329.12	  329.64	  329.58	  329.36	  329.33	  329.62	  329.86	  329.20	  329.57	  329.16	  330.14	  328.46	  329.58	  329.22	  328.35	  328.63	  329.33	  330.93	  327.50	  312.92	  284.26	  255.87	  252.61	  279.60	  309.48	  326.33	  329.55	  329.89	  328.53	  330.23	  329.83	  329.67	  329.13	  329.11	  329.38	  328.79	  328.18	  330.27	  328.00	  330.30	  328.81	  327.48	  328.16	  329.97	  328.92	  329.35	   11.64	   20.34	   21.02	   19.16	   17.91	   16.91	   18.15	   16.83	   15.28	   13.34	   13.46	   21.09	    0.44	    0.04	    0.02	    0.05
      17	 12:29:18	   9.000	  154.15	 1008.78	   22.91	  949.55	   1.187	-1188.01	 -759.09	 -754.19	 -612.29	 -517.05	 -449.47	 -372.25	 -332.39	 -305.41	 -279.38	 -247.64	 -236.33	 -215.23	 -196.07	 -170.85	 -146.09	 -125.05	 -103.79	  -83.19	  -62.16	  -43.68	  -22.31	   -2.56	   12.73	   33.05	-1193.16	  150.57	  320.44	  262.05	  197.75	  155.99	  129.83	  112.54	   99.00	   87.54	   77.82	   70.09	   62.45	   57.06	   52.11	   48.04	   44.53	   42.58	   41.50	   41.25	   42.33	   43.91	   45.93	   33.05	  324.60	  324.59	  324.51	  324.89	  325.00	  324.56	  324.55	  324.79	  325.04	  324.45	  324.40	  324.56	  325.46	  323.62	  324.68	  324.75	  323.59	  323.94	  324.51	  326.31	  322.68	  308.37	  280.32	  252.47	  248.61	  274.47	  304.30	  321.12	  324.78	  325.30	  324.29	  325.28	  325.56	  324.96	  324.77	  324.70	  325.01	  324.57	  323.83	  325.64	  323.38	  325.80	  324.17	  323.18	  323.33	  325.57	  324.37	  325.05	   11.54	   20.21	   20.88	   19.12	   17.95	   17.05	   18.43	   17.11	   15.16	   13.27	   13.42	   20.98	    0.14	    0.05	   -0.03	   -0.04
      18	 12:29:50	   9.500	  154.08	 1008.73	   22.96	  949.76	   1.187	-1316.15	 -779.03	 -828.86	 -710.16	 -505.62	 -436.69	 -385.08	 -349.51	 -317.26	 -287.00	 -254.02	 -239.83	 -217.67	 -197.60	 -170.94	 -146.38	 -123.99	 -102.93	  -81.70	  -60.97	  -43.21	  -22.96	   -4.50	    8.41	   26.66	-1321.12	  118.50	  319.77	  269.78	  206.14	  163.12	  135.97	  118.30	  104.08	   92.05	   81.89	   73.65	   65.61	   59.81	   54.40	   49.90	   46.00	   43.59	   42.07	   41.36	   41.91	   42.92	   44.50	   26.66	  324.28	  324.22	  324.27	  324.77	  324.65	  324.41	  324.21	  324.60	  324.88	  324.10	  324.22	  324.36	  325.14	  323.43	  324.33	  324.45	  323.31	  323.40	  324.04	  325.32	  316.71	  293.62	  263.14	  244.07	  251.11	  283.09	  309.40	  322.45	  324.60	  324.97	  324.20	  324.98	  325.57	  325.04	  324.51	  324.35	  324.93	  324.75	  323.56	  325.30	  323.04	  325.32	  324.07	  322.90	  323.07	  325.31	  323.95	  324.75	   10.83	   19.71	   20.34	   18.55	   17.25	   15.88	   16.84	   16.05	   14.55	   12.53	   12.64	   20.42	   -0.08	    0.03	    0.03	   -0.03
      19	 12:30:10	  10.000	  155.94	 1008.73	   22.97	  950.34	   1.187	-1437.12	 -814.44	 -917.90	 -704.25	 -531.26	 -456.46	 -401.62	 -362.00	 -327.01	 -294.53	 -260.56	 -244.93	 -220.50	 -198.86	 -171.91	 -144.87	 -122.36	 -100.59	  -79.90	  -59.17	  -42.00	  -23.84	   -8.17	    2.27	   17.16	-1439.39	   89.56	  323.16	  279.20	  215.49	  171.47	  142.72	  124.52	  109.45	   96.74	   85.98	   77.17	   68.55	   62.30	   56.41	   51.35	   46.99	   44.04	   42.02	   40.78	   40.75	   41.14	   42.00	   17.16	  328.18	  328.07	  327.83	  328.56	  328.41	  327.98	  327.98	  328.38	  328.56	  327.77	  328.27	  327.91	  328.71	  327.12	  328.07	  328.05	  327.22	  327.30	  327.88	  326.22	  310.51	  281.73	  254.81	  244.34	  255.40	  286.41	  310.89	  324.38	  327.85	  328.52	  327.82	  328.74	  330.02	  327.90	  329.02	  328.99	  329.78	  329.26	  328.13	  330.05	  327.83	  329.99	  328.68	  327.38	  328.06	  329.94	  328.84	  329.59	   10.38	   19.56	   20.23	   18.42	   17.12	   15.08	   16.10	   16.01	   14.32	   12.22	   12.28	   20.32	   -0.57	    0.04	   -0.03	   -0.10
      20	 12:30:25	  10.500	  155.35	 1008.72	   22.99	  950.10	   1.187	-1534.92	 -861.47	-1009.54	 -609.49	 -549.93	 -468.18	 -409.19	 -367.07	 -331.27	 -296.47	 -261.35	 -244.74	 -219.33	 -196.49	 -168.64	 -141.91	 -118.34	  -96.90	  -75.84	  -56.91	  -40.78	  -24.58	  -10.21	   -1.32	   10.88	-1537.10	   56.71	  321.77	  284.68	  221.73	  179.12	  148.66	  129.89	  114.39	  101.14	   90.01	   80.70	   71.73	   65.12	   58.83	   53.34	   48.61	   45.21	   42.75	   41.04	   40.59	   40.43	   40.78	   10.88	  328.32	  328.31	  327.98	  328.45	  328.60	  328.15	  328.13	  328.43	  328.72	  328.12	  328.44	  328.13	  328.79	  327.25	  328.24	  328.28	  327.34	  327.47	  326.97	  321.57	  300.48	  272.36	  248.35	  240.31	  251.24	  280.29	  305.98	  321.95	  327.45	  328.65	  327.94	  328.87	  329.78	  328.77	  328.72	  328.61	  329.59	  329.21	  327.78	  329.86	  327.54	  329.66	  328.21	  327.02	  327.70	  329.50	  328.49	  328.86	   10.92	   20.23	   20.87	   19.07	   17.57	   15.16	   15.87	   16.39	   14.88	   12.77	   12.82	   20.96	    0.05	    0.01	   -0.03	   -0.14
